Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,8572359162.85631,8151479004.21334,8209129171.73649,5751789915.05363,7148145375.78545,9046326059.98857,12045858436.2399,13115773737.5664,14093998843.7334,12896013576.7324,12705357103.0056,12986007425.8781,13147743910.7241,14904517649.8476,16095337093.8366,18737897744.7948,25825524820.8064,31958195182.2406,35895153327.8497,37021512048.8158,40000088346.8041,41954942416.9133,50334699324.2604,55096730083.3224,61448046801.7207,64007293814.8755,70875289605.3804,74938190654.8558,
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,2674000000,2570833333.33333,2316562500,2028295454.54545,1681006993.00699,1661018518.51852,1827570586.16784,1767864035.71943,1645963749.83146,1249062025.13805,1369693171.43504,1525112241.84376,1605640633.42189,1919012780.97086,2211535311.62834,2460248026.17783,2834168889.42019,3802566170.81543,5139957784.91084,4690062255.12247,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7564738836.04122,
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,,,,2533727592.04165,2791435272.26653,3441205692.9166,3506695719.57259,3443413388.6909,3120425502.58253,3517242477.2285,3677897739.07628,3984000517.02345,4284028482.53766,4658246918.27092,5337833248.03924,6293046161.83262,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22158209502.6391,
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,39809538.6776989,47515189.2818196,47737955.346651,46919624.6430029,54832577.8622606,56338028.1690141,66515376.7900462,67537479.5903221,65334841.0604347,69032258.0645161,67254174.3970315,63101272.3699183,72196457.6768445,90231856.8000519,102367039.270481,112133944.253532,108545632.53012,130754915.906619,139125482.301627,130465372.016846,153275912.676573,177142135.121196,188045661.627666,187153601.08129,178869298.720029,169140560.438735,181551516.503122,196150061.312078,
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,208740444.444444,209880962.962963,229434518.518519,249676000,277567259.259259,299699666.666667,318742962.962963,357237682.126571,364975456.93842,389984428.873318,420515107.700293,461078078.078078,483120194.268342,465850739.628517,502561629.62963,543167666.666667,636218037.037037,674008481.481481,738942555.555555,723209111.111111,705015370.37037,753225962.962963,734462666.666667,788163888.888889,847778185.185185,878281518.518518,909854629.62963,945854481.481481,
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,279349355713.801,325734233312.879,350051111253.443,386302839273.923,455602962225.403,556130926912.754,598099073901.423,557503074772.151,374241351752.483,485248229336.653,561633125839.994,533052076313.527,609020054512.465,680520724062.403,764880644710.649,898137194716.188,1011797457138.5,1122679154632.41,1002219052967.54,901934953364.711,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82,1414804158515.26,1530750923148.7,
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,18427777777.7778,11008793176.2223,19858555214.7239,23941391390.7285,24848483838.3838,27191689008.0429,31493987641.9506,30354434553.2476,25941929461.9423,30121879434.954,37711864406.7797,34890772742.0933,38137545245.1464,47875838926.1745,59440108585.0017,80797945205.4795,101550654720.882,114641097818.438,147395833333.333,105899930507.297,115419050942.08,154027536231.884,174070025008.932,174161142454.161,162631412508.784,114567298105.683,110912280701.754,120126277612.925,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,933616782795.849,1144750748752.13,1010836042252.4,1197932350384.23,1397850058437.54,1493297609115.6,1627050954537.79,1791027545414.45,1798856005854.58,1592058174517.48,1797538271308.65,1763701605215.9,1710339343240.25,1712770091442.99,1952341915144.69,2375467191355.18,2788732716557.14,3295782504649.55,3832672929453.84,3595623145995.27,4474792895301.12,5047012279657.33,5066106342536.36,5185317396876.6,5344270294030.11,4375646245549.31,4263791849337.86,4723050473503.12,
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,865559856.1639,1028087972.31085,1127806944.61513,1327748654.65969,1543606345.11684,1763536304.53964,1873671550.34636,1747011857.33107,1280177838.71905,1454430642.49183,1731198022.45494,1768619058.34647,1758176653.07746,2023324407.30316,2366398119.8821,2735558726.25625,3452882514.00166,4222962987.53859,5443915120.50795,5832915387.08908,7127792629.58294,8749241114.18913,10191350119.6808,11942230508.334,13268458231.9284,14390391264.2607,15805707154.2329,16853079615.3519,
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2838485353.96187,4451497288.27108,5545921947.46583,7535259851.03597,9599127049.9375,11718795528.4939,13690217333.2697,15751867489.4446,17247179005.522,17391056369.2265,17260364842.4544,17649751243.7811,19152238805.9701,20082918739.6352,20955223880.597,21287562189.0547,21796351575.4561,24577114427.8607,29227350570.0166,35477118070.2487,38419626628.1924,40075674163.2504,43868565281.7247,46014226807.5622,47833413749.1211,49459296463.2836,49598825982.1559,51844487742.0232,
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,384400000,348000000,223500000,160400000,132200000,134800000,159400000,295900000,359600000,441800000,529064600,521000000,543000000,416000000,474700000,550000000,604028900,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2034000000,2101000000,2158000000,
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,28901836158.1921,31995012468.8279,33881392045.4545,30657030223.3903,28607921928.8175,25544128198.9955,27884615384.6154,30698633109.1343,27249786142.0017,35976714100.9056,38270206950.41,34110064452.1567,20481889763.7795,26265625000,33122307692.3077,47334148578.4164,54961936662.6066,67516236337.7158,87140405361.2292,63028320702.0343,74773444900.5368,34699395523.6073,81873662518.8238,65502870173.7831,41142722414.3351,29274816453.7864,32257171354.0794,50984362478.4973,
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,483962430.740741,513753818.148148,566894748.518518,574870405.185185,600005564.444444,640449501.481481,662196185.185185,676949593.703704,737554871.851852,775934812.592593,784159228.703704,743808076.018518,748346605.925926,823837141.096296,893107210.788889,951207366.040741,1134193629.62963,1277494148.14815,1282215407.40741,1262973407.40741,1381968259.25926,1437684814.81481,1436803333.33333,1489928888.88889,1551921037.03704,1649142629.62963,1667078703.7037,1712306555.55556,
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1170487297728.34,1440075451474.16,1358301448866.22,1562054413092.35,1797860274937.73,1916416781458.34,2074553232613.34,2277065003131.21,2297214579123.53,2072560292030,2287147799918.29,2237489265850.16,2007554359341.32,2050862255942.79,2363196686484.87,2858514895997.23,3349188405527.25,3945134128213.63,4584233320999.89,4306894981162.41,5340986877008.96,6073300034780.13,6134230329295.01,6283950806813.61,6404663412438.65,5504776411963.11,5360659105919.66,5954671133086.38,
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,156900018586.6,158189019773.398,143098961604.677,142685093622.689,133068586801.756,151655620910.494,166925549921.979,176671182557.712,177723460003.885,179727836362.721,203940727491.717,194102537448.664,209534777347.018,237210600220.672,272973081494.539,320116330490.54,376778620201.174,458485011453.283,571465171245.081,582962413224.453,661534508039.736,757956474535.481,805121908439.357,874604129382.353,944663662255.262,928337701072.215,929671974133.327,1062642922681,
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,114493045917.734,118014603637.387,106779247167.722,105422055734.183,86896752623.5016,98940228998.5331,112283840361.587,117126322273.828,118778834321.83,120819960069.132,141048127918.866,133035003030.483,142496025380.558,154736984332.67,177432242316.62,205513031459.976,231980476082.565,276755983018.925,336094165812.671,352981055214.134,384820500564.596,436772411253.333,473081979379.35,516218637744.243,554429344381.762,530149517198.93,501779518531.243,549653601217.708,
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1421466239.56234,1484152022.3152,1631197909.259,1673104493.77369,1948118227.68151,2428461395.34884,2504033252.42718,2298410390.68421,2479721340.8746,2664026095.06058,2483953102.79488,2491822706.80256,2688630822.53304,3070691319.52179,3454362685.96703,3659251525.8593,4000239272.61126,4601299566.81106,5081432924.0144,4504549214.22663,5082366478.08994,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6289165409.55908,,,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,8032551173.24014,9000362581.58086,9703011635.86585,10338679635.7616,11717604208.8223,13029697560.9756,13897738375.2488,15091913883.7091,15794972847.1683,15656327859.5696,16330814179.9766,15749753804.8344,16536535647.0834,18881765437.2151,20662525941.2986,24405791044.7761,28267410542.5164,32351184234.3157,40715240468.9375,42067974595.4411,56728002830.3556,65289915890.3862,68436230407.5235,74294206490.5894,79359306575.5208,80554807486.3911,81788375089.9849,87174682200.4324,
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,880288706165.545,840336504081.86,880596683435.189,891170470315.858,973252879225.626,1093480295922.95,1198972668987.44,1235695864359.54,1109013341862.11,1206317206689.98,1271162681568.72,1281472660972.91,1376397422135.05,1583977463321.46,1812251016985.91,2091228346354.08,2493268639080.39,3074618852196.26,3451889588377.23,3542299023533.36,4491457798285.15,5085109021677.27,5328244735636.7,5551655355159.18,5840971356255.32,5788817724236.97,6036798782954.65,6504155258937.75,
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,3512119252267.66,3702789992698.91,3618452791190.83,3859692031236.79,4187485753993.51,4714778119109.75,5162147924316.49,5461529489980.93,5281256130615.62,5160047083037.1,5661660316309.36,5740552835233.25,6029314232198.94,6780397208539.95,8032162383298.49,9573112620139.85,11381825177840.2,14122197143973.3,16946313033280.4,16574576011098.2,20241819996730.1,23893758917864.3,25510297321131.2,27052759452828.6,28098670449772.5,26534605934364,26663561044210.5,29236806913808,
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,596415104.549144,704329192.771521,831033941.093969,835592802.276831,878250450.602681,1001889856.91048,946123275.88212,997996028.645833,928458205.958432,912771290.61298,887295267.875155,825706961.238689,775780697.676625,1157832934.55127,1511236655.52047,1682350934.85132,1800105589.60349,1820811281.1196,1870722800.56166,1865963014.97575,2385950663.8256,2788022889.09394,2678494689.40317,2526020566.36978,2614576996.39661,2505879959.51217,2291319971.844,2639386291.42767,
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,2027190670324.93,2230241190357.22,2079858821296.91,2156449483598.16,2469344757450.01,3017040050223.25,3326385557815.45,3482538433821.93,3352802893092.74,3097727647301,3402537908849.18,3516602629308.31,3724547882604.63,4246980111207.79,5105469775390.56,6163853200909.83,7438923158716.54,9372771176853.24,11652985617227.7,11265079521162.7,13514622752505.8,16481153458684.7,17631925299754.1,19013144237507.8,19700001139782.1,18464411762339.5,18467589315232.1,20452879964143.3,
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,7870782260.51698,8385109020.28485,10120274492.8787,11240360897.7126,10972878636.1675,11539211480.3625,12252498921.0186,14278357283.7419,18802576988.1557,22649930576.2543,26125575942.2814,30216060233.4044,39738180076.6283,47850551148.8365,37440673477.8982,37120517693.8622,43476873412.803,42848195256.2142,46417340374.5203,48516371720.8346,41508609232.7778,42773029835.3222,47168303744.1329,
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,13229247947.8513,14321878795.0384,16065740777.9172,16486900186.5672,18325791415.4811,21588170498.0843,21776609771.987,19731912494.3617,20209122027.1171,22235929043.2559,21263514833.2412,21272418791.9463,23616328816.1114,29557325056.4334,34685281847.5292,37347394602.6614,42414308116.9239,50888134410.0739,55849686538.7432,51370543206.4462,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66327344188.889,57784495265.4378,58631324559.4484,62404461274.6636,
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,5788368511.12379,5970044665.64574,6525676264.21486,7174985106.63648,7533187605.09248,7937758980.30127,8350252966.19655,9546441564.34743,11748433157.0533,14373269155.7174,16922504044.804,21447021570.1028,30901399261.387,35596016664.2304,26169854045.0375,23757368290.0955,28223552824.7508,28119996053.2511,30254677296.9181,31335013751.5424,26972863393.6384,27571513793.3984,30264454641.8004,
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,3220920084.77746,3735117374.41125,4879018601.90911,5625533410.31176,6265844252.10105,6996034036.99892,7122539666.59972,7211264780.00828,6742367273.27418,6490571703.85015,6720492405.83611,6811227982.82193,7322677820.10108,8195033162.12038,10585624890.9277,12092222041.9168,14789661809.1834,18340447242.9971,20917444919.6394,21475520709.3922,28123640998.7253,36709860068.3445,43031577366.4251,51552075901.5183,55347998647.8196,45361678146.5247,45310877912.7215,50361201096.4366,
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,30180108561.9305,32285388165.2999,33711069430.78,31655473663.8348,35604137422.5796,39030285468.3841,43161452678.4383,39147844526.0838,41806219378.6181,41632027599.8531,38857251336.3448,39459581217.3759,42236836820.6152,52064058833.9739,59626020162.3816,62343022650.8742,68640825480.9223,79041294874.4553,92507257783.5697,92897320375.8176,93216746661.5977,101370474295.109,98266306615.3632,106825649872.108,109881398474.953,100593283696.732,103606321692.582,109139484007.429,
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,2481316053.85316,2480497547.84881,2737066955.91266,2574439973.17387,2720297738.93904,3130270918.79061,3137848783.08404,2840182191.77105,2934578788.86478,2906009307.6651,2647883820.18625,2671401082.76436,2905973022.1746,3588988600.70294,4110348444.49411,4280072625.97622,4663488363.0977,5974371695.95045,6919241412.09365,5557245122.31576,5350674803.33858,6074884388.58937,,,,,,,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,1752975841.35916,1695130456.52174,1930071406.92641,1639497206.70391,1170785047.79461,1288429150.51394,1480656884.38462,1661818168.4226,1980901553.51226,2598231467.43671,2988338439.31553,3408272498.11516,4401154128.12297,6054806100.8468,5439422031.39627,5811604051.96737,7015206498.21955,7284686576.2835,7985349731.46471,7983271110.60446,6512899540.34594,6795741776.1672,8128493432.07741,
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,3081479800.28769,2653141958.52585,3024459564.32157,3370842210.90955,2977040722.47057,3159901231.97468,3995028592.78722,3545776697.12109,3738704467.51878,3717515282.53319,3877673539.09084,4529575347.56805,4397254607.61164,5474030080.24451,4363934494.37405,5039293030.82367,5515884348.54904,7342923489.09616,9413002920.97008,8550363974.79243,8729936135.74487,9892702357.56691,9919780071.28764,10601690871.7611,10673516672.6664,9744243531.20119,10001193315.1966,11499803806.5729,
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,215089005.235602,244468292.682927,284853358.561968,322326642.335766,355884383.08887,398988954.970263,450382327.952421,508223602.37893,540096397.621071,589239753.610875,624337145.284622,870179738.562091,897031250,1052121054.6875,1226829562.5,1163362437.5,1575200390.625,1868383460.9375,2271646187.5,2345294875,2588176054.6875,2774351760.03287,2886170571.69634,3295011381.75405,3697351596.83753,4006531188.37977,4222767412.65203,4597083303.50693,
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,550751246591.596,553767771316.048,603219247532.97,607326939580.023,633582540385.874,708379524753.61,802282728447.583,832397301064.95,808690102587.929,866215980235.898,966685046478.954,970615931120.014,966820093048.204,1089098416129.6,1271214902549.4,1530143773484.48,1790939429141.46,2123322295847.05,2647704729411.94,2368231329944.26,2767867931548.18,3282148441526.9,3575071654292.93,3552428411214.71,3566763468131.32,3141396548651.28,3142484003145.08,3265746599469.31,
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,262709948090.735,314454015372.383,363609163462.471,500736065605.341,527813238126.278,360073909243.855,410975595310.156,500413483109.175,526502129378.284,600232874042.927,707906744574.644,756706300589.791,772106378935.377,729336319677.449,782240601984.76,877476221382.101,975387131716.089,1052696282278.87,1109989038338.86,900045362045.362,1057801282051.28,1180489563964.49,1201090018603.59,1274443078609.46,1314385330073.35,1169622672463.29,1076912039691.17,1149918794765.73,
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,78476000,82507000,91063000,99461000,108071000,120230000,110858000,106289100,108702100,107978900,110937700,115152100,124735100,126887600,131334600,137928600,143930000,150776500,152788700,152617500,164969100,173260300,185210500,190800800,183121300,179697900,194497900,199399247.08,
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,3401169006255.39,3588229266745.6,3514415719629.03,3756606245073.06,4100758496755.99,4616123838130.36,5050533348377.29,5344960913529.66,5163513569717.4,5040668888299.54,5522957996981.42,5608977649651.31,5888556745096.44,6627206396728.01,7856125990863.01,9368795237403.51,11150295461142.2,13845130470116.2,16610742666335.7,16227554245823.1,19853890540908.7,23450375132205.3,25031518436630.7,26533427022753.1,27544454671393.8,26005806125663.3,26157827164876.7,28682698960994.9,
"Macedonia, FYR",MKD,GDP (current US$),NY.GDP.MKTP.CD,4471828621.90813,4694744897.95918,2316618542.52603,2550195043.10345,3381270207.85219,4449375346.45669,4422160017.54386,3735312142.57028,3571043102.5641,3673288263.62039,3772851420.24763,3709637829.94866,4018365247.44444,4946292774.79046,5682719260.0763,6258600713.82627,6861222331.96317,8336478142.08872,9909548410.82744,9401731495.71661,9407168702.4313,10494632699.3859,9745251126.0109,10817712138.9451,11362272837.8818,10051659161.1733,10745787406.4491,11337827331.6809,
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,2681912030.49384,2724131545.16958,2830673388.82429,2818280876.07615,2081846482.74771,2706425298.36818,2780422212.26995,2697105694.07956,2920358586.75234,3439463140.35541,2954129565.82965,3465305993.47783,3889758023.73699,4703504466.53245,5444474268.42491,6245031690.06808,6899799785.8441,8145694631.88354,9750822511.47988,10181021770.4326,10678749467.4697,12978107560.5982,12442747897.2223,13246412031.4145,14388360064.1162,13100058099.804,14034980333.6615,15288163367.2602,
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,2547163582.33149,2750041434.26295,3021910216.71827,2709178326.78271,2998570146.54095,3439931906.61479,3570271557.88471,3705372038.70537,3923637971.04652,4127313818.33836,4306192435.82207,4331870647.71535,4689832689.83269,5456583589.39342,6062780269.0583,6394851386.64345,6757119558.3992,7880509170.54476,8977149553.24447,8528202278.41067,8741059602.64901,9507645259.93884,9209559295.90132,10145114179.5008,11234045376.1444,10574026838.1945,11279535398.2301,12537750732.4769,
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,8905066163.58643,6477790688.22844,6777632512.0781,10467109977.6717,10567354056.4049,11986972418.5103,14502553709.8303,20182477480.5512,31862554101.9378,36906181380.8127,49540813342.4834,59977326085.9908,59937797559.3295,60269734044.526,65446402659.1687,59687373958.2574,63225097051.255,69322122755.8536,
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,,,,291244570793.021,298672880822.405,340550304360.117,395320600465.872,405762308173.537,411569941245.342,435303108536.144,451180870909.139,467355993191.65,453678358083.978,511780801926.394,592919911444.815,698419820703.851,811375431672.303,1002832284121.99,1235366170569.32,1195903054603.52,1383517141781.51,1568522347333.56,1728262060498.28,1623203517357.34,1597411125089.81,1435241663214.56,1444678670901.96,1431747940489.4,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,984297589.359934,1159869245.92513,1284685050.52413,1707710053.14938,2073234417.68066,2257174480.78597,2721904403.46255,3680710375.03422,4545674527.61096,4159330369.5471,4139192052.98013,4538198498.74896,4087724527.81704,4464261816.25066,4587926230.59573,4052913385.82677,4374130530.97345,4774086094.2078,
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,2560785660,2379018326.31579,1317611863.84977,768401634.154573,925817092.217484,1452165005.2384,1345719472.35883,1180934202.83801,1124440248.9783,1057408588.68269,1136896123.61298,1267997934.3125,1396555719.97409,1595297355.78349,1992066808.09598,2523471532.01083,3414055566.1138,4234999823.30839,5623216448.86851,4583850367.88972,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11749620619.5962,11183458130.8083,11488046881.0431,
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,733000000,751000000,784000000,845000000,933000000,1242000000,,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,2512079324.07706,3263761937.95748,2291175764.66004,2394823061.93212,2460670287.73707,2521738759.58885,3523842274.89662,4227273069.05991,4873242526.06404,5302532113.25156,5016469068.50898,4766928746.6914,5031510908.86055,5597367853.40358,6831808930.39816,7723846194.87446,8312078525.08582,9366742309.49331,11494837053.4061,10911698208.1015,10154238250.1818,13131168011.807,14534278446.3087,16018848990.669,16961117243.491,14798399862.4398,11014862241.7342,12333859926.277,
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1019600770.60339,1443688869.96039,1464392416.14671,1249944999.42056,1315932644.95246,1415296704.11812,1442598431.0096,1401946853.20672,1375115534.0733,1405662878.85296,1293654175.2102,1295539448.36484,1324426606.62378,1563074859.52173,1833444740.37736,2184445123.17519,3040716679.07669,3356757064.45846,3978425880.65663,3670515287.9948,4343665075.37898,5179690135.80186,5225533499.82893,5724227185.17783,5391475277.24326,4844223106.95469,4739298311.39235,5024705934.33687,
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,2653480001.34558,2856890680.60285,3224267547.80508,3263368410.01813,3558137040.37772,4040345933.29231,4421943910.49749,4187367601.73431,4169664285.38681,4291172815.63421,4582555124.64952,4536538210.66761,4767303153.99506,5609831328.0648,6385695187.0102,6283803256.01264,7028803365.70151,8150138757.15741,9990370016.30771,9128843109.15588,10003670690.3497,11518393367.2403,11668685524.1265,12129642296.4425,12803445933.5894,11692287066.381,12232463655.5727,13338147523.0124,
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1880771556.30474,2203545856.66893,1799517081.56412,2070636935.58644,1181802596.03498,1397457932.30697,2281034131.36493,2663234933.89767,1750584265.28754,1775921718.10534,1743506531.32652,1716502862.2954,3495748397.63025,3208837077.25069,3476094498.87517,3655909664.1423,3997852636.24547,4432192843.58998,5320925102.29496,6190991712.12014,6959697194.02096,8003300198.30166,6028470988.53624,5518901971.40057,6054750320.3278,6373201160.03248,5433038646.51677,6303277590.80083,
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,44024178343.0071,49142784405.0044,59167157497.9385,66894448545.1226,74477975918.3051,88704944178.6284,100854996422.609,100005323301.867,72167753770.8928,79148947368.4211,93789736842.1053,92783947368.4211,100845263157.895,110202368421.053,124749736842.105,143534102611.497,162690965596.205,193547824063.3,230813597937.526,202257586267.556,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,296434003328.639,296535930381.12,314500279043.81,
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,6575110950908.47,6786006083611.19,7133366589284.92,7457709121892.44,7888761439501.61,8270122373385.4,8731442777972.13,9264273191726.28,9724112027406.81,10340031087640.9,11030552667252.6,11361884260892.6,11739401906646.5,12407237511367.9,13302608706074.6,14267952115864.7,15176717496461.2,15948507238205.8,16273823136997.2,15795698382986.4,16583580836811.1,17312124677047.8,17985081294447.6,18539718715830.2,19232659728993,19686255793552.8,20166305457752,21049975179140.2,
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,2804379662.19611,3012742078.00674,3448326858.34502,3218475900.48046,3636645995.26867,3942478205.72909,3945340776.40546,4102648719.61806,3826527630.55551,3818954447.99083,3908661517.62299,3546783708.12619,3361251197.73829,4931312147.21007,6606858786.01174,7261333794.60003,7978734401.53585,8740865600.24981,8486721916.9128,8876191120.76189,11282192605.0374,12409629835.6998,13016272898.9038,12717790504.5002,12786078008.2376,11769045771.9709,11309232187.534,13244597345.4319,
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,2529310103.83608,2653781596.46008,2923764926.39718,3070161471.04451,3038727617.03901,3628440274.67,3606968433.92682,3291489840.57141,3158806480.26107,3056999988.09146,2682347064.3642,,,,,,,,,,,,,,,,,,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2480673194.99252,2327986215.86356,2344987614.27441,1606581743.78497,1563207224.65066,1880803361.68562,1987770898.54334,1845599608.44272,2076737356.67897,2018193703.06047,1798374468.36362,1945327564.65042,2170481508.86916,2731416346.48158,3052898739.4678,3405134831.85049,3646728060.06463,4291363390.91295,5403363917.3096,5397121856.35204,5718589799.24366,6409169889.50891,6942209336.19391,7667949382.35442,8229732168.33823,7251323996.0562,7606749314.04003,8119732792.52478,
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,30757075595.3681,27392886872.5547,29300903643.0584,15789003752.7594,18086400535.5777,28546958641.2735,34987951375,35822342617.6978,32004613750,35870792987.9432,46386011231.37,44137994251.618,59116847821.5797,67655813930.0926,87845420504.485,112248353104.911,145429764861.249,166451213395.64,208064753766.47,169481317540.364,369062464570.387,411743801711.642,460953836444.364,514966287206.505,568498937587.905,481066152888.967,404652720164.898,375770713742.763,
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1009455483.87097,1488804123.71134,1792800000,1756454248.36601,3863185119.04762,4140470000,4308351902.78601,4389965590.96538,4635267224.84195,4855717874.68247,5107329007.0922,5323146565.70315,5224213017.54386,5322454925.84746,5795568204.64532,6321335612.22233,6763671610.70006,7423377429.05927,8496965842.2767,8298695144.91507,8758622328.66962,9774316692.15985,10532001129.67,10982972256.3787,11880438824.4494,12611087031.4931,13184989877.5664,13814261535.5434,
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,314267667675.178,323320449905.705,358330385839.599,349037818106.312,374291430318.44,446528959648.641,445704575163.399,412199006098.938,432476116418.574,441975282335.393,412807259996.315,426573601789.709,465368906455.863,571863431151.242,650532654581.574,678533764457.157,726649102998.369,839419655078.018,936228211513.11,857932759099.75,836389937229.197,893757287201.688,828946812396.788,866680000367.264,879635084124.987,757999453314.269,777227541581.307,826200282501.127,
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,119791683307.507,121872464483.487,130838040067.584,120579072750.596,127131461119.927,152027402449.804,163517783497.163,161354369892.838,154165219811.533,162286003692.686,171315639982.731,174003247439.305,195418347152.985,228752436371.854,264357494659.388,308722079937.912,345424664369.357,401082621082.621,462554432624.114,386622457579.95,429130952709.224,498831558925.86,510229136226.902,523502127659.574,499338534779.159,386663139402.707,371075238095.238,398831956477.937,
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,3627562402.66027,3921476084.89072,3401211581.29176,3660041666.66667,4066775510.20408,4401104417.67068,4521580381.47139,4918691916.53516,4856255044.39064,5033642384.10596,5494252207.90502,6007061224.48979,6050875806.66403,6330473096.54071,7273938314.71988,8130258041.46706,9043715355.8881,10325618017.379,12545438605.3959,12854985464.0764,16002656434.4746,18913574370.76,18851513891.066,19271168018.482,20002968837.9471,21410840908.5198,21131983246.1855,24472013233.8472,
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,20432742.1126982,39333572.3247894,44290951.9252006,49248810.5726872,72751801.046087,103811958.762887,108601538.461538,117020381.931693,100459782.608696,102060129.577055,113884908.36413,
