Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,21650000000,18000000000,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,49209523809.5238,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54442374372.5094,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485076.70851,8082364868.39357,8773451738.91129,9549077869.1065,11451869164.7112,13120183156.7149,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33941126193.9219,37508642112.8799,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,461951782000,602860000000,400599250000,437798577639.752,558111997497.263,769305386182.849,850426432991.742,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630175813.342,1107640297889.95,1397084345950.39,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2023318251.8769,2007109829.46353,1950900000,2046189031.96937,2151295182.22045,2261969870.23318,2411872918.01323,2549296474.91672,2874459304.92716,3012081738.17929,3121500000,3116650000,3169600000,3274850000,3514350000,3897300000,4246600000,4523750000,4607300000,4434050000,4461650000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4796845980.8226,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653959.8368,12128089001.5858,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,299787275.842376,250045839.929639,250794359.567901,235239570.350935,270801565.189672,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.181606,537050133.717342,622026107.771576,702682018.976169,818869145.124717,897731524.929922,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1944782820.88824,2059258652.94668,2212638830.39439,2511852941.17647,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17845,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053365.4786,10945070441.9283,10267133177.7334,12786654365.8738,15682926895.9668,14686278707.4589,14915780538.6724,16250774266.6656,14420551446.4623,15648700274.4804,17406530780.7155,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1440711395.67069,1377375030.52921,1411917558.45855,1278781166.72188,851174350.649409,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,1981732633.92013,1986015906.25044,2195599556.73866,2169706564.05899,1518565298.35641,1702899386.14322,1583776805.96568,1755468136.86556,1949411659.20453,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,652825364726.275,631813279406.808,676082654640.91,742293448252.643,736379777892.562,757950678646.53,892380986367.854,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.8,1559623393038.66,1535767736946.18,1653042795255.04,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,256391119869.734,242844938128.091,260069791613.87,274192522357.49,311016433450.634,386483907816.169,412962206488.87,409177909939.01,447675040690.542,434158675543.007,427831355696.263,468374571700.502,527431862889.731,634787658548.013,762873141595.66,886290450379.885,1002435558361.94,1265875311783.39,1529583538570.5,1286223012130.48,1312703359581.13,1446066158638.56,1351505878828.8,1422649884075.1,1463900229119.28,1286222588314.92,1313066988021.63,1450746635299.76,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,258066552980.132,261113787377.964,271814366804.153,264353008121.278,292646657673.466,342617007103.594,330091688349.515,286519135326.948,295045152020.968,289912492344.561,272055499940.786,278631271391.325,301416810214.295,352914820747.011,394163688620.828,408689353999.357,430921192375.18,479913034321.893,554363487120.303,541506500413.565,583782977866.405,699579638638.226,668043614122.87,688504173431.454,709182559935.301,679289166858.236,668745279604.532,678887336848.252,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.073,154788024805.808,173605968179.255,179638496278.574,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260584090570.988,243999477737.94,250036180921.053,277075944401.941,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,360857912565.966,383373318083.624,426915712711.146,444731282436.762,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5,12237700479375,
